denominazione;idstazione;latitudine;longitudine;quota;altezza;idsensore;nometipologia
Ruinon RTU 206;45;46.44327164;10.46246816;2130;0;83;T
BORMIO Ponte sul  Frodolfo;6;46.46511043;10.37274277;1250;0;13;T
VALDIDENTRO Arnoga;12;46.45882032;10.24200574;1880;0;28;T
VALDIDENTRO Cancano ;13;46.51444736;10.3168218;1930;0;29;T
VALFURVA S. Caterina;14;46.41214801;10.49465943;1730;0;30;T
CHIESA IN VALMALENCO Alpe dell  Oro;27;46.32146157;9.763068827;2040;0;1346;T
CHIESA IN VALMALENCO Funivia Bernina;29;46.29149337;9.864049007;2014;0;54;T
GROSIO Diga Fusino;52;46.32705578;10.2459702;1220;0;99;T
BRANZI Caserma Carabinieri;57;46.00185756;9.759127833;830;0;112;T
CARONA Lago Fregabolgia;58;46.02444887;9.863057339;1955;0;115;T
VILLA DI CHIAVENNA ;60;46.33222086;9.512099033;665;0;121;T
VALDISOTTO Arginone;61;46.38438097;10.35398005;1050;0;133;T
TIRANO Monte Masuccio;78;46.24408871;10.17331626;1732;0;1367;T
VALDISOTTO Val Pola;82;46.38330021;10.33105194;2114;0;26;T
VALFURVA Sce di Sotto;88;46.44442559;10.45171903;1765;0;1397;T
VALFURVA Confinale;92;46.44291177;10.47017878;2300;0;1436;T
MILANO Lambrate;100;45.49677982;9.2575154;120;0;2001;T
SAN COLOMBANO AL LAMBRO ;102;45.17191896;9.488996838;140;0;2039;T
VARZI Nivione;106;44.80739989;9.179491628;500;0;2082;T
SONDRIO Fond.Fojanini;107;46.16559148;9.848500587;307;0;2096;T
SAMOLACO v.Vignola;108;46.23611061;9.426654132;206;0;2110;T
SANT ANGELO LODIGIANO ;109;45.26066732;9.379659683;60;0;2122;T
GONZAGA ;110;44.9644689;10.76752321;22;0;2134;T
CASSINA VALSASSINA Moggio;111;45.91309369;9.497502221;1234;0;2146;T
LANDRIANO Cascina Marianna;114;45.32056664;9.267140229;88;0;2187;T
EDOLO Ist.Meneghini;117;46.17572375;10.33339294;699;0;2245;T
SAN GIOVANNI BIANCO Cornalita;119;45.88234592;9.6470676;700;0;2270;T
CAVENAGO D`ADDA ;123;45.26924715;9.562621464;67;1.5;2327;T
CASTELLO D`AGOGNA ;125;45.24680045;8.700571652;106;0;2361;T
CAPO DI PONTE v.Briscioli;129;46.02656354;10.34250261;362;0;2400;T
BRESCIA ITAS Pastori;130;45.52614579;10.2613822;149;0;2414;T
BERGAMO v.Stezzano;132;45.66051929;9.65876847;211;0;2433;T
BEMA ;133;46.10586193;9.569105327;800;0;2447;T
CORZANO Bargnano;134;45.43371947;10.03902721;93;0;2459;T
PERSICO DOSIMO ;136;45.16362871;10.05881585;44;0;2485;T
RIVOLTA D`ADDA Ist. Spallanzani;137;45.44409052;9.520689007;102;0;2497;T
MOTTA VISCONTI SMR;140;45.2819562;8.988575477;100;0;4001;T
VERTEMATE CON MINOPRIO serre;141;45.7190109;9.085488499;310;0;4009;T
CAIOLO ;142;46.15492317;9.792518875;274;0;4017;T
LIVIGNO Passo Foscagno;143;46.49442365;10.20750158;2320;2;11144;T
MADESIMO Spluga;144;46.47166727;9.348123015;1915;0;4034;T
DARFO BOARIO TERME ;145;45.87460211;10.17735681;222;0;4042;T
