denominazione;idstazione;latitudine;longitudine;quota;altezza;idsensore1;nometipologia1;idsensore2;nometipologia2
VALDIDENTRO Cancano ;13;46.51444736;10.3168218;1930;0;209;VV;208;DV
VALFURVA Ghiacciaio dei Forni;16;46.42078756;10.55540938;2180;0;211;VV;210;DV
CASPOGGIO Piazzo Cavalli;35;46.25003596;9.871635671;1719;0;131;VV;132;DV
CARONA Lago Fregabolgia;58;46.02444887;9.863057339;1955;10;17468;VV;17470;DV
Villa di Chiavenna;60;46.33198716;9.512031889;665;10;17537;VV;17540;DV
VALDISOTTO Arginone;61;46.38438097;10.35398005;1050;0;137;VV;138;DV
MILANO Lambrate;100;45.49677982;9.2575154;120;7;14391;VV;14390;DV
SAN COLOMBANO AL LAMBRO ;102;45.17191896;9.488996838;140;24;11641;VV;11827;DV
VARZI Nivione;106;44.80739989;9.179491628;500;10;11642;VV;11828;DV
SONDRIO Fond.Fojanini;107;46.16559148;9.848500587;307;10;11643;VV;11829;DV
SAMOLACO v.Vignola;108;46.23611061;9.426654132;206;10;11644;VV;11830;DV
SANT ANGELO LODIGIANO ;109;45.26066732;9.379659683;60;10;11645;VV;11831;DV
GONZAGA ;110;44.9644689;10.76752321;22;10;11646;VV;11832;DV
CASSINA VALSASSINA Moggio;111;45.91309369;9.497502221;1234;10;11647;VV;11833;DV
LANDRIANO Cascina Marianna;114;45.32059361;9.267153115;88;10;11648;VV;11834;DV
SAN GIOVANNI BIANCO Cornalita;119;45.8696909;9.639112837;622;10;11650;VV;11836;DV
CAVENAGO D`ADDA ;123;45.26927396;9.562659973;67;10;11129;VV;11130;DV
CASTELLO D`AGOGNA ;125;45.24680045;8.700571652;106;10;12713;VV;12712;DV
CASTELLO D`AGOGNA ;125;45.24680045;8.700571652;106;10;11651;VV;11837;DV
CASATENOVO tetto;127;45.70194614;9.309144812;360;20;11652;VV;11838;DV
CAPO DI PONTE v.Briscioli;129;46.02656354;10.34250261;362;10;11653;VV;11839;DV
BERGAMO v.Stezzano;132;45.66051929;9.65876847;211;10;11654;VV;11840;DV
BEMA ;133;46.10551878;9.5693347;958;10;14340;VV;14339;DV
CORZANO Bargnano;134;45.43372847;10.03902738;93;10;11655;VV;11841;DV
PERSICO DOSIMO ;136;45.16362871;10.05881585;44;10;11656;VV;11842;DV
RIVOLTA D`ADDA Ist. Spallanzani;137;45.44409052;9.520689007;102;10;11657;VV;11843;DV
VERTEMATE CON MINOPRIO serre;141;45.7190109;9.085488499;310;10;4015;VV;11845;DV
CAIOLO ;142;46.15492317;9.792518875;274;10;4024;VV;11846;DV
LIVIGNO Passo Foscagno;143;46.49442365;10.20750158;2320;10;4032;VV;11847;DV
MADESIMO Spluga;144;46.47166727;9.348123015;1915;10;4040;VV;11848;DV
DARFO BOARIO TERME ;145;45.87460211;10.17735681;222;10;4048;VV;11849;DV
MEZZOLDO Passo S.Marco;146;46.03826409;9.628647097;1824;6;4056;VV;11850;DV
CINISELLO BALSAMO Parco Nord;147;45.54266468;9.205603412;142;10;4064;VV;14110;DV
ARCONATE SMR;148;45.54851736;8.847321929;182;10;4072;VV;11851;DV
PIEVE SAN GIACOMO ;150;45.12182787;10.19531208;39;10;4088;VV;14047;DV
MANTOVA Lunetta2 SMR;166;45.15798528;10.82393143;25;10;5127;VV;14328;DV
